CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12499,560,27,393.72,1,2,2,Needs Attention
12500,23,146,5955.21,4,4,5,Champion
12501,337,149,2169.39,2,4,4,At Risk
12502,96,147,3723.87,3,4,5,Loyal Customer
12503,584,2,1126.0,1,1,3,Lost
12504,18,20,779.05,5,2,3,Recent User
12505,409,42,955.2,2,3,3,At Risk
12506,233,23,73.5,2,2,1,Needs Attention
12507,134,49,1844.06,3,3,4,Loyal Customer
12508,26,69,398.27,4,3,2,Loyal Customer
12509,284,7,176.5,2,1,1,Needs Attention
12510,143,145,5178.02,3,4,5,Loyal Customer
12511,429,190,3084.02,1,5,5,At Risk
12512,66,34,138.03,3,2,1,Needs Attention
12513,113,35,612.29,3,2,2,Needs Attention
12514,267,84,1597.76,2,4,4,At Risk
12515,353,16,383.7,2,1,2,Needs Attention
12516,78,74,2648.62,3,3,4,Loyal Customer
12517,28,284,2502.84,4,5,4,Champion
12518,1,124,2056.89,5,4,4,Champion
12519,64,40,726.54,3,3,3,Loyal Customer
12520,79,152,2634.26,3,4,4,Loyal Customer
12521,143,38,599.68,3,3,2,Loyal Customer
12522,39,12,192.72,4,1,1,Recent User
12523,19,250,4372.15,5,5,5,Champion
12524,9,240,11126.11,5,5,5,Champion
12525,498,60,973.73,1,3,3,At Risk
12526,1,71,1316.66,5,3,4,Loyal Customer
12527,82,32,735.51,3,2,3,Needs Attention
12528,9,92,1933.48,5,4,4,Champion
12529,528,21,316.48,1,2,2,Needs Attention
12530,60,158,3759.26,3,4,5,Loyal Customer
12531,15,127,1933.2,5,4,4,Champion
12532,30,16,349.83000000000004,4,1,2,Recent User
12533,628,72,1367.89,1,3,4,At Risk
12534,131,63,1089.18,3,3,3,Loyal Customer
12535,92,34,716.35,3,2,3,Needs Attention
12536,43,261,12601.830000000002,4,5,5,Champion
12537,409,43,732.94,2,3,3,At Risk
12538,29,34,640.45,4,2,3,Recent User
12539,22,504,11214.75,4,5,5,Champion
12540,20,771,22254.49,4,5,5,Champion
12541,30,52,981.18,4,3,3,Loyal Customer
12542,484,39,481.88,1,3,2,At Risk
12543,448,43,980.25,1,3,3,At Risk
12544,36,19,372.7,4,2,2,Recent User
12545,75,50,1000.39,3,3,3,Loyal Customer
12546,47,69,1161.5,4,3,3,Loyal Customer
12547,198,21,383.58,2,2,2,Needs Attention
12548,166,5,95.19999999999999,3,1,1,Needs Attention
12549,576,49,1575.68,1,3,4,At Risk
12550,79,57,964.83,3,3,3,Loyal Customer
12551,358,10,168.0,2,1,1,Needs Attention
12552,39,20,437.82,4,2,2,Recent User
12553,8,238,4608.75,5,5,5,Champion
12554,449,26,468.5,1,2,2,Needs Attention
12555,682,1,129.23,1,1,1,Lost
12556,50,121,603.71,4,4,2,Loyal Customer
12557,16,58,18716.14,5,3,5,Loyal Customer
12558,8,11,269.96,5,1,1,Recent User
12559,311,21,561.71,2,2,2,Needs Attention
12560,5,105,2134.01,5,4,4,Champion
12561,303,16,238.85,2,1,1,Needs Attention
12562,8,207,4966.92,5,5,5,Champion
12563,409,13,249.24,2,1,1,Needs Attention
12564,261,21,456.9,2,2,2,Needs Attention
12565,289,9,145.92,2,1,1,Needs Attention
12566,86,19,351.65,3,2,2,Needs Attention
12567,23,639,13709.86,4,5,5,Champion
12568,645,5,70.0,1,1,1,Lost
12569,2,188,4124.69,5,5,5,Champion
12570,682,1,77.52,1,1,1,Lost
12571,40,34,519.61,4,2,2,Recent User
12572,9,60,1020.42,5,3,3,Loyal Customer
12573,227,119,717.41,2,4,3,At Risk
12574,316,11,218.45,2,1,1,Needs Attention
12575,457,38,622.8199999999999,1,3,3,At Risk
12576,36,142,2142.72,4,4,4,Champion
12577,35,302,1653.75,4,5,4,Champion
12578,21,172,4642.45,4,4,5,Champion
12579,78,29,440.42,3,2,2,Needs Attention
12580,247,58,1052.9,2,3,3,At Risk
12581,40,15,197.71,4,1,1,Recent User
12582,239,103,1980.4,2,4,4,At Risk
12583,3,466,14447.44,5,5,5,Champion
12584,4,96,2338.15,5,4,4,Champion
12585,234,87,2040.1,2,4,4,At Risk
12586,17,94,2062.67,5,4,4,Champion
12587,8,4,144.0,5,1,1,Recent User
12588,39,46,958.78,4,3,3,Loyal Customer
12589,29,180,4695.66,4,5,5,Champion
12590,211,68,9864.26,2,3,5,At Risk
12591,317,69,1352.15,2,3,4,At Risk
12592,92,81,2582.66,3,4,4,Loyal Customer
12593,109,21,418.09999999999997,3,2,2,Needs Attention
12594,38,199,5090.110000000001,4,5,5,Champion
12595,505,19,299.02,1,2,2,Needs Attention
12596,51,27,618.27,4,2,3,Recent User
12597,19,206,3811.22,5,5,5,Champion
12598,10,206,4534.09,5,5,5,Champion
12599,29,133,2296.72,4,4,4,Champion
12600,29,132,5043.92,4,4,5,Champion
12601,190,34,681.26,2,2,3,Needs Attention
12602,59,12,153.12,4,1,1,Recent User
12603,22,2,739.1999999999999,4,1,3,Recent User
12604,79,16,254.18,3,1,1,Needs Attention
12605,376,76,1232.95,2,3,3,At Risk
12606,682,1,21.0,1,1,1,Lost
12607,60,101,1579.51,3,4,4,Loyal Customer
12608,405,16,415.79,2,1,2,Needs Attention
12609,78,175,3435.86,3,4,5,Loyal Customer
12610,23,106,2099.54,4,4,4,Champion
12611,52,65,1193.32,4,3,3,Loyal Customer
12612,74,19,704.0400000000001,3,2,3,Needs Attention
12613,57,327,6835.07,4,5,5,Champion
12614,278,20,315.6,2,2,2,Needs Attention
12615,2,270,5740.98,5,5,5,Champion
12616,95,54,1131.1,3,3,3,Loyal Customer
12617,29,42,355.53,4,3,2,Loyal Customer
12618,22,11,177.31,4,1,1,Recent User
12619,16,100,3781.38,5,4,5,Champion
12620,15,92,1339.41,5,4,4,Champion
12621,2,770,24775.81,5,5,5,Champion
12622,232,11,180.1,2,1,1,Needs Attention
12623,276,173,3747.84,2,4,5,At Risk
12624,106,38,641.13,3,3,3,Loyal Customer
12625,212,183,5164.88,2,5,5,At Risk
12626,23,294,6620.48,4,5,5,Champion
12627,11,230,4478.53,5,5,5,Champion
12628,4,41,786.46,5,3,3,Loyal Customer
12629,386,45,1558.22,2,3,4,At Risk
12630,10,64,1270.88,5,3,4,Loyal Customer
12631,57,183,3481.57,4,5,5,Champion
12632,521,35,804.88,1,2,3,Needs Attention
12633,59,306,5678.16,4,5,5,Champion
12634,536,20,490.0,1,2,2,Needs Attention
12635,90,179,2930.41,3,5,4,Loyal Customer
12636,739,1,141.0,1,1,1,Lost
12637,67,635,8340.31,3,5,5,Loyal Customer
12638,33,48,921.49,4,3,3,Loyal Customer
12639,239,64,1312.37,2,3,4,At Risk
12640,24,53,1174.58,4,3,3,Loyal Customer
12641,115,10,185.9,3,1,1,Needs Attention
12642,25,47,1013.26,4,3,3,Loyal Customer
12643,128,52,8350.42,3,3,5,Loyal Customer
12644,130,111,1918.49,3,4,4,Loyal Customer
12645,34,160,3539.3,4,4,5,Champion
12646,5,45,1346.97,5,3,4,Loyal Customer
12647,22,550,17924.35,4,5,5,Champion
12648,155,65,1112.0,3,3,3,Loyal Customer
12649,107,118,2294.65,3,4,4,Loyal Customer
12650,3,20,314.44,5,2,2,Recent User
12651,335,30,377.75,2,2,2,Needs Attention
12652,331,51,1017.03,2,3,3,At Risk
12653,149,86,4160.83,3,4,5,Loyal Customer
12654,11,38,601.98,5,3,2,Loyal Customer
12655,424,16,261.35,1,1,1,Lost
12656,17,247,6407.83,5,5,5,Champion
12657,11,47,1643.18,5,3,4,Loyal Customer
12658,19,36,686.05,5,2,3,Recent User
12659,30,5,91.68,4,1,1,Recent User
12660,11,13,245.1,5,1,1,Recent User
12661,436,11,162.0,1,1,1,Lost
12662,1,406,6988.02,5,5,5,Champion
12663,625,10,239.4,1,1,1,Lost
12664,8,45,6070.04,5,3,5,Loyal Customer
12665,325,17,313.6,2,2,2,Needs Attention
12666,394,31,1248.42,2,2,3,Needs Attention
12667,58,33,620.13,4,2,3,Recent User
12668,12,539,11444.68,5,5,5,Champion
12669,151,101,2744.0299999999997,3,4,4,Loyal Customer
12670,10,115,3760.29,5,4,5,Champion
12671,606,45,2622.481,1,3,4,At Risk
12672,330,22,437.05,2,2,2,Needs Attention
12673,5,74,1230.02,5,3,3,Loyal Customer
12674,39,83,1970.6,4,4,4,Champion
12675,554,113,958.5,1,4,3,At Risk
12676,25,107,2843.09,4,4,4,Champion
12677,555,21,395.1,1,2,2,Needs Attention
12678,42,376,34281.18,4,5,5,Champion
12679,59,48,1113.02,4,3,3,Loyal Customer
12680,1,53,880.81,5,3,3,Loyal Customer
12681,15,1465,30868.28,5,5,5,Champion
12682,4,1039,24033.91,5,5,5,Champion
12683,4,541,12696.78,5,5,5,Champion
12684,8,105,2283.63,5,4,4,Champion
12685,28,157,2863.08,4,4,4,Champion
12686,372,14,178.28,2,1,1,Needs Attention
12687,481,126,2138.91,1,4,4,At Risk
12688,114,171,4873.8099999999995,3,4,5,Loyal Customer
12689,26,72,1247.61,4,3,3,Loyal Customer
12690,206,16,389.01,2,1,2,Needs Attention
12691,28,39,1170.4,4,3,3,Loyal Customer
12692,637,13,110.95,1,1,1,Lost
12693,127,79,1703.02,3,4,4,Loyal Customer
12694,70,83,1843.35,3,4,4,Loyal Customer
12695,7,59,1407.1200000000001,5,3,4,Loyal Customer
12696,435,49,851.91,1,3,3,At Risk
12697,29,41,957.59,4,3,3,Loyal Customer
12698,590,16,339.75,1,1,2,Lost
12699,418,41,638.11,1,3,3,At Risk
12700,8,268,4939.99,5,5,5,Champion
12701,80,147,2446.41,3,4,4,Loyal Customer
12702,20,12,219.0,4,1,1,Recent User
12703,71,74,1006.53,3,3,3,Loyal Customer
12704,7,88,2340.84,5,4,4,Champion
12705,15,599,11762.1,5,5,5,Champion
12707,292,33,603.42,2,2,2,Needs Attention
12708,30,310,5314.1,4,5,5,Champion
12709,15,500,31093.34,5,5,5,Champion
12710,97,77,1149.02,3,4,3,Loyal Customer
12711,612,60,1339.05,1,3,4,At Risk
12712,29,276,7193.66,4,5,5,Champion
12713,1,38,848.55,5,3,3,Loyal Customer
12714,9,696,14093.71,5,5,5,Champion
12715,106,21,353.86,3,2,2,Needs Attention
12716,4,69,1053.49,5,3,3,Loyal Customer
12717,151,71,1308.91,3,3,4,Loyal Customer
12718,71,19,238.25,3,2,1,Needs Attention
12719,5,39,644.95,5,3,3,Loyal Customer
12720,3,509,8260.67,5,5,5,Champion
12721,32,239,4013.08,4,5,5,Champion
12722,85,53,997.63,3,3,3,Loyal Customer
12723,4,69,725.07,5,3,3,Loyal Customer
12724,5,129,2317.52,5,4,4,Champion
12725,371,130,2694.56,2,4,4,At Risk
12726,28,179,4014.6,4,5,5,Champion
12727,11,203,5679.53,5,5,5,Champion
12728,71,61,1070.17,3,3,3,Loyal Customer
12729,114,26,453.01,3,2,2,Needs Attention
12730,522,47,829.25,1,3,3,At Risk
12731,24,393,25775.71,4,5,5,Champion
12732,180,12,236.26000000000002,3,1,1,Needs Attention
12733,234,157,2424.87,2,4,4,At Risk
12734,353,19,639.65,2,2,3,Needs Attention
12735,315,43,779.5699999999999,2,3,3,At Risk
12736,333,4,234.0,2,1,1,Needs Attention
12737,499,2,3710.5,1,1,5,Lost
12738,372,22,310.7,2,2,2,Needs Attention
12739,78,89,2726.73,3,4,4,Loyal Customer
12740,64,27,427.6,3,2,2,Needs Attention
12741,529,16,406.07,1,1,2,Lost
12742,626,67,1201.52,1,3,3,At Risk
12743,134,134,546.43,3,4,2,Loyal Customer
12744,52,339,25317.06,4,5,5,Champion
12745,487,23,925.41,1,2,3,Needs Attention
12746,541,17,254.55,1,2,1,Needs Attention
12747,2,257,9276.539999999999,5,5,5,Champion
12748,1,7228,56599.39,5,5,5,Champion
12749,4,338,6897.36,5,5,5,Champion
12750,129,15,275.88,3,1,1,Needs Attention
12751,445,62,268.27,1,3,1,At Risk
12752,81,53,4366.78,3,3,5,Loyal Customer
12753,23,197,21429.39,4,5,5,Champion
12754,236,63,3010.74,2,3,5,At Risk
12755,281,64,9030.66,2,3,5,At Risk
12756,87,4,112.07999999999998,3,1,1,Needs Attention
12757,16,371,7857.1,5,5,5,Champion
12758,117,313,9903.24,3,5,5,Loyal Customer
12759,52,302,5020.74,4,5,5,Champion
12760,456,21,347.8,1,2,2,Needs Attention
12761,458,27,782.95,1,2,3,Needs Attention
12762,8,69,1898.52,5,3,4,Loyal Customer
12763,138,34,814.16,3,2,3,Needs Attention
12764,317,45,1693.88,2,3,4,At Risk
12765,472,68,1404.58,1,3,4,At Risk
12766,4,455,10068.28,5,5,5,Champion
12767,376,43,949.82,2,3,3,At Risk
12768,451,10,168.69000000000003,1,1,1,Lost
12769,239,32,1143.6,2,2,3,Needs Attention
12770,211,28,3246.45,2,2,5,Needs Attention
12771,486,15,282.3,1,1,1,Lost
12772,60,55,892.47,3,3,3,Loyal Customer
12773,564,6,124.25,1,1,1,Lost
12774,536,6,98.7,1,1,1,Lost
12775,17,81,1686.12,5,4,4,Champion
12776,668,4,55.5,1,1,1,Lost
12777,458,26,519.45,1,2,2,Needs Attention
12778,20,114,1775.68,4,4,4,Champion
12779,38,277,6722.2699999999995,4,5,5,Champion
12780,599,20,337.4,1,2,2,Needs Attention
12781,64,25,826.74,3,2,3,Needs Attention
12782,5,227,4618.24,5,5,5,Champion
12783,2,84,2225.91,5,4,4,Champion
12784,9,131,1804.75,5,4,4,Champion
12785,364,56,1100.4,2,3,3,At Risk
12786,610,18,728.5,1,2,3,Needs Attention
12787,10,44,862.18,5,3,3,Loyal Customer
12788,463,26,444.9,1,2,2,Needs Attention
12789,65,8,273.35,3,1,1,Needs Attention
12790,192,37,591.85,2,2,2,Needs Attention
12791,374,30,1056.1100000000001,2,2,3,Needs Attention
12792,257,47,827.01,2,3,3,At Risk
12793,335,51,1017.33,2,3,3,At Risk
12794,53,45,860.41,4,3,3,Loyal Customer
12795,19,14,430.48,5,1,2,Recent User
12796,628,7,381.0,1,1,2,Lost
12797,366,43,806.11,2,3,3,At Risk
12798,10,33,8510.93,5,2,5,Recent User
12799,529,15,219.35,1,1,1,Lost
12800,470,34,584.25,1,2,2,Needs Attention
12801,501,50,1071.82,1,3,3,At Risk
12802,187,138,2416.42,3,4,4,Loyal Customer
12803,393,55,1092.81,2,3,3,At Risk
12804,466,67,327.02,1,3,2,At Risk
12805,382,58,1434.95,2,3,4,At Risk
12806,435,67,2878.96,1,3,4,At Risk
12807,383,16,330.35,2,1,2,Needs Attention
12808,37,54,906.1,4,3,3,Loyal Customer
12809,178,81,1755.94,3,4,4,Loyal Customer
12810,535,32,534.99,1,2,2,Needs Attention
12811,261,56,1033.9,2,3,3,At Risk
12812,45,15,229.64000000000001,4,1,1,Recent User
12813,502,45,1687.8,1,3,4,At Risk
12814,102,2,125.92,3,1,1,Needs Attention
12815,148,47,1063.46,3,3,3,Loyal Customer
12816,96,29,572.2,3,2,2,Needs Attention
12817,281,25,690.98,2,2,3,Needs Attention
12818,262,14,1542.08,2,1,4,Needs Attention
12819,458,19,540.52,1,2,2,Needs Attention
12820,3,159,2689.52,5,4,4,Champion
12821,214,13,220.8,2,1,1,Needs Attention
12822,71,46,948.88,3,3,3,Loyal Customer
12823,75,18,6501.5,3,2,5,Needs Attention
12824,60,25,397.12,3,2,2,Needs Attention
12825,521,24,518.63,1,2,2,Needs Attention
12826,3,166,2955.75,5,4,4,Champion
12827,6,25,430.15000000000003,5,2,2,Recent User
12828,3,56,1018.71,5,3,3,Loyal Customer
12829,337,19,385.3,2,2,2,Needs Attention
12830,38,38,6814.64,4,3,5,Loyal Customer
12831,262,22,451.11,2,2,2,Needs Attention
12832,32,27,383.03,4,2,2,Recent User
12833,145,24,417.38,3,2,2,Needs Attention
12834,283,18,312.38,2,2,2,Needs Attention
12835,428,620,6043.31,1,5,5,At Risk
12836,59,414,6585.62,4,5,5,Champion
12837,173,92,688.41,3,4,3,Loyal Customer
12838,34,423,3398.48,4,5,5,Champion
12839,3,576,10071.73,5,5,5,Champion
12840,144,176,4041.97,3,4,5,Loyal Customer
12841,5,702,7540.68,5,5,5,Champion
12842,70,48,1917.99,3,3,4,Loyal Customer
12843,66,221,6588.41,3,5,5,Loyal Customer
12844,29,103,648.6,4,4,3,Loyal Customer
12845,267,27,354.09,2,2,2,Needs Attention
12846,682,1,15.58,1,1,1,Lost
12847,22,126,1636.8999999999999,4,4,4,Champion
12848,676,16,208.0,1,1,1,Lost
12849,31,148,3090.56,4,4,5,Champion
12850,446,2,330.0,1,1,2,Lost
12851,97,80,284.13,3,4,1,Loyal Customer
12852,295,17,311.55,2,2,2,Needs Attention
12853,135,148,3907.5,3,4,5,Loyal Customer
12854,79,265,2994.02,3,5,5,Loyal Customer
12855,373,70,650.9399999999999,2,3,3,At Risk
12856,8,314,2179.93,5,5,4,Champion
12857,211,121,3688.0,2,4,5,At Risk
12858,383,49,177.92,2,3,1,At Risk
12859,459,21,575.1,1,2,2,Needs Attention
12860,693,17,55.47,1,2,1,Needs Attention
12861,620,4,68.25,1,1,1,Lost
12862,426,133,1008.3199999999999,1,4,3,At Risk
12863,52,48,2792.5499999999997,4,3,4,Loyal Customer
12864,138,7,299.57,3,1,2,Needs Attention
12865,26,195,3323.47,4,5,5,Champion
12866,283,63,1227.35,2,3,3,At Risk
12867,26,1063,7913.29,4,5,5,Champion
12868,186,146,2247.06,3,4,4,Loyal Customer
12869,682,37,337.66999999999996,1,2,2,Needs Attention
12870,375,93,1676.95,2,4,4,At Risk
12871,84,18,744.02,3,2,3,Needs Attention
12872,327,436,3685.4900000000002,2,5,5,At Risk
12873,282,35,2027.3,2,2,4,Needs Attention
12874,385,48,948.42,2,3,3,At Risk
12875,143,8,1356.99,3,1,4,Needs Attention
12876,58,170,4081.79,4,4,5,Champion
12877,4,277,2955.17,5,5,4,Champion
12878,236,47,854.99,2,3,3,At Risk
12879,45,10,573.22,4,1,2,Recent User
12880,382,36,640.13,2,2,3,Needs Attention
12881,276,7,298.0,2,1,2,Needs Attention
12882,9,13,1463.04,5,1,4,Recent User
12883,25,42,703.47,4,3,3,Loyal Customer
12884,88,7,309.05,3,1,2,Needs Attention
12885,63,71,1175.22,3,3,3,Loyal Customer
12886,68,82,1378.4,3,4,4,Loyal Customer
12887,384,13,222.4,2,1,1,Needs Attention
12888,214,5,354.12,2,1,2,Needs Attention
12889,381,25,385.46000000000004,2,2,2,Needs Attention
12890,24,139,717.27,4,4,3,Loyal Customer
12891,186,11,840.5,3,1,3,Needs Attention
12892,397,18,263.38,2,2,1,Needs Attention
12893,31,34,188.14,4,2,1,Recent User
12894,575,21,157.35,1,2,1,Needs Attention
12895,42,22,372.8,4,2,2,Recent User
12897,205,14,514.25,2,1,2,Needs Attention
12898,464,32,310.96000000000004,1,2,2,Needs Attention
12899,414,17,366.4,1,2,2,Needs Attention
12900,422,13,340.33,1,1,2,Lost
12901,9,116,17654.54,5,4,5,Champion
12902,265,10,138.68,2,1,1,Needs Attention
12903,429,41,833.53,1,3,3,At Risk
12904,18,72,509.58,5,3,2,Loyal Customer
12905,577,54,1018.42,1,3,3,At Risk
12906,12,63,2919.81,5,3,4,Loyal Customer
12907,396,25,508.91,2,2,2,Needs Attention
12908,176,5,1776.0,3,1,4,Needs Attention
12909,40,158,3103.19,4,4,5,Champion
12910,23,137,5796.52,4,4,5,Champion
12911,552,248,1680.47,1,5,4,At Risk
12912,3,24,1662.3,5,2,4,Recent User
12913,5,96,6700.860000000001,5,4,5,Champion
12914,401,9,223.98,2,1,1,Needs Attention
12915,149,73,1174.75,3,3,3,Loyal Customer
12916,139,184,4654.0199999999995,3,5,5,Loyal Customer
12917,128,50,4359.2,3,3,5,Loyal Customer
12918,626,1,10953.5,1,1,5,Lost
12919,8,50,1335.19,5,3,4,Loyal Customer
12920,17,60,488.09000000000003,5,3,2,Loyal Customer
12921,9,1534,35921.04,5,5,5,Champion
12922,161,28,405.38,3,2,2,Needs Attention
12923,64,62,789.87,3,3,3,Loyal Customer
12924,88,74,2469.4,3,3,4,Loyal Customer
12925,5,50,729.3299999999999,5,3,3,Loyal Customer
12926,411,274,1548.46,1,5,4,At Risk
12927,395,11,197.31,2,1,1,Needs Attention
12928,35,179,4304.89,4,5,5,Champion
12929,312,8,117.85,2,1,1,Needs Attention
12930,78,25,415.8,3,2,2,Needs Attention
12931,22,218,92347.34,4,5,5,Champion
12932,539,95,1698.56,1,4,4,At Risk
12933,24,296,1687.03,4,5,4,Champion
12934,737,2,181.65,1,1,1,Lost
